Geschlecht,Alter,Kinder,Familienstand,Berufstaetig,Einkaufstag,Einkaufsuhrzeit,Wohnort,Haushaltsnettoeinkommen,Stammkunde,Einkaufssumme,Elektrowerkzeuge,Eisenwaren,Handwerkzeuge,Sanitaermaterial,Schliesstechnik,Fliesen,Farben,Armaturen,Renovierung,Elektromaterial,Baustoffe,Holz,Bodenbelag,Leuchten,Gartengeraete
m,51-60,ja,Partnerschaft,ja,Samstag,14-17 Uhr,10 - 25 km,2000-<3200,1 bis 5,215,0,0,4,0,162,0,0,0,99,49,0,0,0,42,0
w,31-40,ja,Partnerschaft,nein,Montag,>17 Uhr,10 - 25 km,2000-<3200,0,100,0,6,0,0,30,0,0,0,94,0,0,0,0,0,0
w,>60,nein,ledig,ja,Mittwoch,>17 Uhr,< 10 km,1000-<2000,0,47,0,6,11,0,43,0,0,0,0,0,0,15,0,0,0
w,>60,ja,ledig,nein,Freitag,>17 Uhr,< 10 km,1000-<2000,> 5,122,33,14,12,0,62,0,0,0,0,0,0,12,63,0,0
w,>60,nein,ledig,nein,Samstag,10-12 Uhr,< 10 km,1000-<2000,1 bis 5,242,39,0,0,34,0,0,0,120,0,0,169,0,0,0,0
m,18-30,nein,Partnerschaft,ja,Freitag,<10 Uhr,10 - 25 km,>4500,1 bis 5,342,0,16,11,0,114,0,0,0,0,110,0,0,0,45,135
w,18-30,ja,Partnerschaft,ja,Dienstag,14-17 Uhr,< 10 km,>4500,> 5,307,273,0,0,0,0,0,0,0,0,34,0,0,0,0,0
m,18-30,nein,ledig,ja,Montag,>17 Uhr,10 - 25 km,>4500,1 bis 5,686,0,0,27,34,72,23,0,165,14,80,303,0,0,60,0
m,31-40,nein,Partnerschaft,ja,Freitag,>17 Uhr,10 - 25 km,<1000,0,180,0,2,6,0,0,0,0,0,0,0,0,0,160,0,0
m,31-40,nein,Partnerschaft,ja,Montag,>17 Uhr,< 10 km,3200-<4500,1 bis 5,54,0,0,0,54,0,0,0,147,0,0,0,0,0,0,0
w,41-50,ja,ledig,ja,Mittwoch,>17 Uhr,< 10 km,2000-<3200,1 bis 5,509,0,8,72,0,17,104,0,0,242,80,143,54,0,80,0
m,31-40,ja,ledig,ja,Mittwoch,>17 Uhr,< 10 km,2000-<3200,1 bis 5,348,0,12,6,0,0,0,0,0,0,219,117,0,0,0,0
w,18-30,nein,ledig,nein,Montag,14-17 Uhr,10 - 25 km,2000-<3200,1 bis 5,210,0,0,0,0,0,0,0,0,0,0,204,6,0,0,0
w,18-30,ja,Partnerschaft,ja,Mittwoch,14-17 Uhr,10 - 25 km,1000-<2000,1 bis 5,318,0,0,0,168,0,186,0,0,150,0,0,0,0,0,0
m,31-40,ja,Partnerschaft,ja,Dienstag,10-12 Uhr,10 - 25 km,2000-<3200,> 5,92,0,5,0,0,56,0,0,0,0,0,87,0,0,0,0
m,51-60,nein,Partnerschaft,ja,Donnerstag,<10 Uhr,< 10 km,<1000,1 bis 5,281,144,6,20,0,36,95,0,0,96,36,0,0,0,60,0
m,>60,ja,ledig,nein,Montag,10-12 Uhr,10 - 25 km,2000-<3200,0,300,144,0,0,60,0,0,0,292,94,0,0,0,0,0,0
m,41-50,nein,Partnerschaft,ja,Montag,>17 Uhr,< 10 km,<1000,> 5,444,0,10,24,0,0,0,0,0,63,0,218,0,0,0,132
w,18-30,ja,Partnerschaft,ja,Dienstag,10-12 Uhr,10 - 25 km,2000-<3200,0,70,0,10,0,0,20,0,0,0,58,60,0,0,0,0,0
w,18-30,ja,ledig,ja,Mittwoch,>17 Uhr,10 - 25 km,2000-<3200,1 bis 5,391,12,4,0,66,66,102,0,489,96,0,151,0,0,0,0
w,41-50,ja,ledig,nein,Samstag,12-14 Uhr,< 10 km,>4500,1 bis 5,1026,0,0,48,156,0,324,0,174,312,0,339,0,156,15,0
w,18-30,nein,Partnerschaft,nein,Montag,12-14 Uhr,> 25 km,<1000,0,108,0,8,16,90,96,73,0,86,0,0,0,10,0,0,0
m,>60,nein,ledig,nein,Dienstag,10-12 Uhr,10 - 25 km,1000-<2000,> 5,765,0,0,0,93,0,207,0,0,55,53,369,0,76,0,0
w,>60,nein,Partnerschaft,ja,Freitag,14-17 Uhr,> 25 km,2000-<3200,1 bis 5,582,0,0,0,62,0,177,0,36,54,32,282,0,0,84,0
m,>60,nein,ledig,nein,Dienstag,14-17 Uhr,< 10 km,2000-<3200,0,271,88,0,0,129,0,142,0,0,24,0,0,30,0,0,0
w,51-60,ja,ledig,nein,Montag,>17 Uhr,< 10 km,2000-<3200,0,471,0,12,42,30,0,0,0,0,0,0,0,27,318,0,0
w,>60,nein,ledig,nein,Samstag,12-14 Uhr,10 - 25 km,>4500,1 bis 5,442,0,5,0,66,12,43,0,49,75,0,296,0,0,0,0
w,41-50,ja,ledig,ja,Montag,12-14 Uhr,10 - 25 km,1000-<2000,1 bis 5,92,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0
m,18-30,nein,Partnerschaft,nein,Samstag,>17 Uhr,< 10 km,1000-<2000,> 5,12,0,12,20,0,0,0,0,0,0,0,0,0,0,0,0
w,>60,ja,ledig,ja,Donnerstag,10-12 Uhr,10 - 25 km,1000-<2000,1 bis 5,326,178,21,15,0,0,0,0,41,108,44,0,42,0,0,0
m,18-30,ja,ledig,nein,Samstag,12-14 Uhr,> 25 km,1000-<2000,1 bis 5,140,0,10,0,50,48,146,0,88,62,80,0,0,0,56,0
m,41-50,nein,Partnerschaft,nein,Dienstag,10-12 Uhr,10 - 25 km,<1000,> 5,238,0,2,4,13,82,174,0,0,0,0,202,0,0,0,0
m,18-30,ja,ledig,nein,Donnerstag,12-14 Uhr,< 10 km,1000-<2000,> 5,199,0,12,8,165,60,0,0,30,0,0,0,22,0,0,0
m,18-30,nein,ledig,nein,Dienstag,>17 Uhr,< 10 km,2000-<3200,1 bis 5,267,0,0,0,0,0,0,0,0,21,48,196,0,0,0,0
w,41-50,nein,ledig,ja,Donnerstag,<10 Uhr,10 - 25 km,1000-<2000,1 bis 5,88,39,5,7,0,18,0,17,0,0,0,0,0,0,0,0
w,41-50,ja,Partnerschaft,ja,Mittwoch,10-12 Uhr,< 10 km,>4500,> 5,39,0,0,0,0,0,0,0,0,0,39,0,0,0,69,0
m,>60,ja,Partnerschaft,nein,Dienstag,>17 Uhr,< 10 km,2000-<3200,1 bis 5,390,164,15,0,28,0,0,0,122,186,48,105,0,0,0,0
m,18-30,nein,ledig,ja,Freitag,10-12 Uhr,< 10 km,2000-<3200,1 bis 5,366,0,12,12,0,16,315,0,0,0,0,0,0,0,0,39
m,18-30,ja,ledig,ja,Dienstag,10-12 Uhr,10 - 25 km,2000-<3200,1 bis 5,349,0,15,20,78,129,0,112,84,132,0,0,0,0,0,0
m,>60,nein,ledig,ja,Dienstag,14-17 Uhr,< 10 km,1000-<2000,> 5,412,0,0,0,0,0,0,0,0,0,0,148,0,0,0,264
m,31-40,ja,ledig,nein,Freitag,12-14 Uhr,10 - 25 km,<1000,0,301,0,0,0,25,0,0,0,188,0,0,276,0,0,0,0
m,51-60,nein,ledig,ja,Samstag,12-14 Uhr,10 - 25 km,<1000,0,297,0,6,27,45,63,138,0,279,0,0,219,27,0,0,0
m,41-50,ja,ledig,nein,Montag,12-14 Uhr,< 10 km,2000-<3200,1 bis 5,88,0,10,4,0,50,0,0,0,129,78,0,0,0,23,0
w,18-30,nein,ledig,ja,Donnerstag,14-17 Uhr,> 25 km,2000-<3200,1 bis 5,233,0,30,0,0,90,69,0,0,66,0,0,0,0,48,0
m,>60,ja,ledig,ja,Samstag,<10 Uhr,10 - 25 km,<1000,> 5,220,0,15,36,0,36,0,0,0,72,147,0,32,0,120,0
w,>60,nein,Partnerschaft,ja,Dienstag,<10 Uhr,10 - 25 km,2000-<3200,0,343,0,6,27,0,30,0,0,0,0,23,96,29,0,66,0
w,18-30,ja,Partnerschaft,ja,Donnerstag,12-14 Uhr,> 25 km,>4500,1 bis 5,21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
w,18-30,ja,ledig,ja,Mittwoch,>17 Uhr,10 - 25 km,>4500,> 5,297,0,0,4,88,32,0,0,94,176,156,0,17,0,0,0
w,41-50,ja,Partnerschaft,ja,Mittwoch,>17 Uhr,> 25 km,1000-<2000,> 5,376,0,6,0,0,0,0,100,0,0,0,0,0,0,0,270
m,31-40,nein,Partnerschaft,nein,Mittwoch,12-14 Uhr,10 - 25 km,1000-<2000,> 5,488,0,0,14,0,0,0,0,0,0,74,180,0,140,66,0
w,31-40,nein,ledig,ja,Mittwoch,>17 Uhr,10 - 25 km,2000-<3200,1 bis 5,332,0,0,0,0,0,0,0,0,132,0,200,0,0,0,0
w,>60,nein,ledig,nein,Dienstag,<10 Uhr,< 10 km,2000-<3200,0,336,68,0,0,8,0,189,0,0,0,0,162,0,0,98,0
w,51-60,ja,Partnerschaft,nein,Freitag,12-14 Uhr,10 - 25 km,>4500,> 5,134,0,0,0,17,117,234,0,318,0,0,0,0,0,0,0
m,18-30,nein,ledig,nein,Dienstag,14-17 Uhr,10 - 25 km,1000-<2000,> 5,214,0,6,0,0,22,0,0,0,0,0,208,0,0,0,0
m,18-30,ja,ledig,ja,Freitag,>17 Uhr,< 10 km,1000-<2000,1 bis 5,263,0,6,0,0,0,0,0,0,282,159,0,0,0,40,0
w,31-40,nein,Partnerschaft,ja,Freitag,>17 Uhr,< 10 km,1000-<2000,1 bis 5,482,192,12,0,64,17,96,0,0,190,0,0,0,0,0,0
w,18-30,nein,ledig,nein,Montag,>17 Uhr,< 10 km,1000-<2000,1 bis 5,144,0,18,24,0,60,0,0,0,78,126,0,0,0,90,0
w,>60,nein,ledig,ja,Samstag,<10 Uhr,10 - 25 km,<1000,> 5,527,99,4,26,56,20,0,88,35,0,0,0,0,156,0,114
m,31-40,nein,ledig,ja,Dienstag,10-12 Uhr,< 10 km,3200-<4500,1 bis 5,653,0,0,0,0,27,144,0,0,38,126,356,0,0,22,0
m,18-30,nein,ledig,nein,Montag,>17 Uhr,< 10 km,2000-<3200,0,289,0,15,18,32,22,0,0,204,42,14,88,0,0,66,140
w,>60,nein,ledig,nein,Dienstag,10-12 Uhr,< 10 km,2000-<3200,> 5,245,0,0,0,82,63,78,0,113,0,0,100,0,0,0,0
w,18-30,nein,Partnerschaft,nein,Freitag,10-12 Uhr,10 - 25 km,2000-<3200,1 bis 5,213,0,14,21,0,63,0,0,0,0,0,52,120,0,0,0
m,>60,ja,ledig,ja,Samstag,10-12 Uhr,10 - 25 km,3200-<4500,> 5,575,0,3,0,0,46,0,0,426,40,62,0,18,66,0,0
m,31-40,nein,ledig,nein,Dienstag,10-12 Uhr,10 - 25 km,3200-<4500,> 5,176,51,5,7,0,80,0,0,0,0,0,120,0,0,0,0
m,51-60,nein,Partnerschaft,ja,Montag,12-14 Uhr,10 - 25 km,1000-<2000,> 5,116,0,9,12,0,13,0,0,0,0,0,107,0,0,0,0
m,31-40,ja,Partnerschaft,ja,Freitag,>17 Uhr,10 - 25 km,2000-<3200,1 bis 5,288,0,0,21,129,0,20,0,174,0,138,0,0,0,2,0
m,41-50,nein,ledig,ja,Samstag,10-12 Uhr,< 10 km,3200-<4500,1 bis 5,286,0,0,0,0,0,0,42,0,116,64,0,0,0,60,0
m,41-50,nein,Partnerschaft,nein,Samstag,10-12 Uhr,< 10 km,1000-<2000,1 bis 5,660,70,8,11,135,32,53,0,0,0,0,444,0,0,3,0
w,31-40,ja,Partnerschaft,ja,Montag,10-12 Uhr,< 10 km,3200-<4500,> 5,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
m,41-50,nein,Partnerschaft,ja,Donnerstag,<10 Uhr,10 - 25 km,1000-<2000,> 5,285,0,24,0,0,22,0,0,261,0,0,0,0,0,0,0
m,18-30,ja,Partnerschaft,ja,Donnerstag,12-14 Uhr,< 10 km,<1000,> 5,78,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0
m,41-50,ja,ledig,ja,Samstag,10-12 Uhr,< 10 km,1000-<2000,1 bis 5,358,0,6,28,30,64,0,0,0,21,106,88,0,65,0,63
m,51-60,nein,Partnerschaft,ja,Donnerstag,10-12 Uhr,< 10 km,1000-<2000,1 bis 5,271,0,5,0,0,0,0,0,117,0,0,125,14,0,0,0
m,51-60,nein,Partnerschaft,ja,Montag,<10 Uhr,< 10 km,2000-<3200,> 5,873,171,8,12,33,53,116,0,41,128,0,462,26,0,0,0
m,18-30,ja,Partnerschaft,nein,Samstag,12-14 Uhr,10 - 25 km,1000-<2000,> 5,129,0,12,6,0,69,0,0,0,100,102,0,0,0,32,0
m,31-40,nein,ledig,nein,Dienstag,10-12 Uhr,< 10 km,>4500,> 5,343,0,0,12,68,0,111,0,0,46,138,0,0,0,32,0
m,51-60,ja,ledig,nein,Samstag,12-14 Uhr,10 - 25 km,2000-<3200,0,199,144,6,0,49,76,85,0,232,0,0,0,0,0,0,0
m,18-30,nein,ledig,nein,Donnerstag,10-12 Uhr,10 - 25 km,2000-<3200,1 bis 5,221,0,5,8,0,87,0,0,0,176,198,0,6,0,45,0
m,31-40,nein,ledig,ja,Mittwoch,>17 Uhr,> 25 km,<1000,> 5,158,0,9,0,0,0,0,0,93,80,17,0,0,0,30,0
w,31-40,ja,Partnerschaft,ja,Mittwoch,12-14 Uhr,10 - 25 km,1000-<2000,1 bis 5,42,0,4,14,18,42,0,0,130,0,0,0,20,0,0,0
m,18-30,ja,Partnerschaft,ja,Freitag,>17 Uhr,< 10 km,1000-<2000,1 bis 5,101,0,5,10,88,27,64,0,244,0,0,0,0,0,0,0
w,31-40,nein,Partnerschaft,nein,Montag,10-12 Uhr,10 - 25 km,1000-<2000,> 5,197,0,0,0,156,0,0,0,106,186,41,0,0,0,10,0
m,31-40,nein,Partnerschaft,nein,Samstag,10-12 Uhr,> 25 km,<1000,> 5,187,0,12,0,0,0,0,0,0,72,33,0,0,0,50,142
m,>60,nein,ledig,ja,Montag,>17 Uhr,< 10 km,2000-<3200,> 5,129,0,7,0,48,0,177,0,86,0,0,0,0,0,0,0
w,18-30,nein,Partnerschaft,ja,Samstag,<10 Uhr,< 10 km,3200-<4500,0,234,0,9,51,0,0,0,0,0,50,93,0,0,120,34,0
w,>60,nein,ledig,ja,Freitag,14-17 Uhr,10 - 25 km,1000-<2000,0,148,0,6,4,34,30,284,0,45,108,0,0,0,0,0,0
m,18-30,nein,ledig,ja,Samstag,14-17 Uhr,10 - 25 km,<1000,> 5,195,30,0,0,0,0,63,0,0,0,102,0,0,0,0,0
m,18-30,ja,ledig,ja,Samstag,<10 Uhr,10 - 25 km,3200-<4500,> 5,259,0,0,27,0,60,0,0,0,62,30,142,0,0,27,0
m,41-50,ja,ledig,ja,Mittwoch,>17 Uhr,< 10 km,1000-<2000,0,718,86,24,11,56,78,67,0,298,138,30,382,0,0,12,0
m,>60,ja,Partnerschaft,nein,Samstag,10-12 Uhr,< 10 km,2000-<3200,1 bis 5,308,255,6,24,0,147,0,0,0,47,0,0,0,0,0,0
m,18-30,ja,Partnerschaft,nein,Samstag,<10 Uhr,10 - 25 km,2000-<3200,> 5,419,61,15,0,60,0,117,102,0,165,0,0,0,0,0,0
w,>60,nein,Partnerschaft,ja,Dienstag,12-14 Uhr,< 10 km,1000-<2000,> 5,483,0,7,26,51,9,32,75,0,309,0,0,11,0,0,0
m,>60,nein,ledig,nein,Dienstag,12-14 Uhr,10 - 25 km,2000-<3200,1 bis 5,294,0,6,36,36,0,84,0,25,88,0,0,75,0,31,0
m,>60,nein,Partnerschaft,ja,Freitag,>17 Uhr,< 10 km,1000-<2000,1 bis 5,21,0,8,4,0,84,0,0,0,0,0,0,0,0,0,0
m,18-30,ja,ledig,ja,Mittwoch,10-12 Uhr,< 10 km,1000-<2000,1 bis 5,111,0,18,0,0,27,0,0,15,0,58,0,0,0,0,0
m,31-40,ja,ledig,nein,Montag,>17 Uhr,10 - 25 km,1000-<2000,1 bis 5,105,0,3,26,102,39,32,0,0,0,0,0,0,0,0,0
m,18-30,nein,Partnerschaft,ja,Samstag,<10 Uhr,10 - 25 km,>4500,1 bis 5,216,0,0,0,0,0,0,0,0,124,0,92,0,0,0,0
m,>60,nein,Partnerschaft,ja,Samstag,10-12 Uhr,< 10 km,1000-<2000,> 5,663,106,2,26,0,105,0,0,0,171,180,264,33,0,42,0
m,18-30,ja,ledig,ja,Montag,12-14 Uhr,10 - 25 km,3200-<4500,1 bis 5,170,0,10,9,66,34,110,0,0,94,0,0,0,0,0,0
m,51-60,ja,Partnerschaft,ja,Dienstag,10-12 Uhr,< 10 km,>4500,> 5,77,0,15,34,0,10,0,0,0,0,0,38,0,0,0,0
w,18-30,nein,Partnerschaft,nein,Samstag,14-17 Uhr,< 10 km,1000-<2000,1 bis 5,492,0,0,54,33,0,244,0,0,56,153,0,0,0,0,0
m,18-30,nein,ledig,nein,Montag,<10 Uhr,< 10 km,<1000,> 5,106,0,0,9,12,74,84,0,132,0,0,0,11,0,0,0
m,41-50,ja,ledig,ja,Samstag,14-17 Uhr,< 10 km,1000-<2000,> 5,48,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
w,41-50,ja,ledig,nein,Freitag,12-14 Uhr,< 10 km,2000-<3200,> 5,655,0,14,36,0,20,0,0,0,282,0,327,32,0,0,0
m,18-30,nein,Partnerschaft,ja,Montag,12-14 Uhr,> 25 km,3200-<4500,> 5,77,0,4,22,50,64,0,0,37,0,0,0,23,0,0,0
m,51-60,nein,Partnerschaft,ja,Samstag,12-14 Uhr,10 - 25 km,1000-<2000,1 bis 5,506,0,9,36,42,54,52,0,0,27,9,438,0,0,93,0
m,18-30,nein,ledig,nein,Donnerstag,10-12 Uhr,< 10 km,1000-<2000,0,414,170,12,30,0,0,0,0,0,54,24,0,0,0,44,198
m,18-30,nein,ledig,nein,Freitag,14-17 Uhr,10 - 25 km,>4500,0,298,0,14,28,165,39,0,0,0,102,68,0,0,0,18,0
w,18-30,ja,Partnerschaft,ja,Samstag,<10 Uhr,10 - 25 km,>4500,1 bis 5,258,0,12,8,0,22,0,0,0,177,0,0,69,0,0,0
m,>60,nein,ledig,ja,Samstag,>17 Uhr,< 10 km,1000-<2000,> 5,458,128,21,0,86,54,69,32,212,0,0,164,27,0,0,0
m,31-40,nein,ledig,ja,Mittwoch,>17 Uhr,< 10 km,2000-<3200,> 5,280,0,4,36,0,60,0,0,0,99,0,0,117,0,0,0
m,31-40,ja,ledig,nein,Montag,<10 Uhr,10 - 25 km,>4500,> 5,317,0,4,15,0,48,13,0,0,0,0,95,25,0,0,180
m,18-30,nein,ledig,ja,Freitag,>17 Uhr,< 10 km,3200-<4500,> 5,482,0,0,0,14,0,0,0,0,0,0,194,0,0,0,0
w,41-50,nein,Partnerschaft,ja,Montag,12-14 Uhr,10 - 25 km,3200-<4500,> 5,276,138,0,0,23,0,210,0,0,0,0,42,48,0,25,0
m,18-30,ja,ledig,ja,Mittwoch,>17 Uhr,< 10 km,1000-<2000,> 5,441,0,0,0,17,0,0,0,0,111,123,79,0,0,0,0
m,51-60,ja,Partnerschaft,ja,Donnerstag,10-12 Uhr,< 10 km,<1000,> 5,140,0,5,21,0,38,0,0,0,0,0,0,0,0,0,0
w,51-60,nein,Partnerschaft,ja,Samstag,>17 Uhr,> 25 km,3200-<4500,0,106,0,0,0,60,0,0,0,138,93,10,0,0,0,56,0
m,41-50,nein,Partnerschaft,ja,Dienstag,10-12 Uhr,< 10 km,1000-<2000,1 bis 5,346,0,5,18,92,32,273,0,72,0,0,0,0,0,0,101
w,51-60,ja,ledig,nein,Montag,10-12 Uhr,10 - 25 km,>4500,1 bis 5,493,219,7,24,0,14,0,0,0,29,86,137,0,0,21,0
m,31-40,nein,ledig,nein,Freitag,>17 Uhr,< 10 km,1000-<2000,> 5,116,0,12,0,0,26,0,0,0,0,0,74,30,0,0,0
m,31-40,ja,Partnerschaft,nein,Montag,>17 Uhr,< 10 km,1000-<2000,1 bis 5,171,0,3,36,0,0,0,0,0,0,0,94,0,0,0,0
m,51-60,nein,ledig,nein,Dienstag,>17 Uhr,10 - 25 km,2000-<3200,> 5,377,0,8,0,9,22,0,0,0,0,0,286,0,0,0,74
m,>60,ja,Partnerschaft,ja,Samstag,>17 Uhr,< 10 km,<1000,> 5,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
m,>60,nein,Partnerschaft,nein,Freitag,12-14 Uhr,< 10 km,2000-<3200,> 5,230,0,0,0,32,0,76,0,0,152,0,0,46,0,0,0
w,51-60,nein,Partnerschaft,nein,Montag,<10 Uhr,< 10 km,>4500,0,255,135,18,0,0,102,0,0,0,69,0,0,0,0,0,0
w,51-60,nein,ledig,nein,Montag,12-14 Uhr,10 - 25 km,2000-<3200,0,243,0,14,0,45,22,336,0,324,168,0,0,16,0,0,0
m,18-30,ja,ledig,ja,Freitag,12-14 Uhr,10 - 25 km,2000-<3200,1 bis 5,4,0,4,0,0,38,0,0,0,0,0,0,0,0,0,0
w,31-40,nein,Partnerschaft,ja,Dienstag,12-14 Uhr,10 - 25 km,2000-<3200,> 5,338,234,24,22,0,0,0,0,0,0,80,0,0,0,43,0
m,41-50,nein,Partnerschaft,nein,Dienstag,>17 Uhr,10 - 25 km,2000-<3200,1 bis 5,33,0,15,11,18,64,104,0,0,0,0,0,0,0,0,0
m,41-50,nein,Partnerschaft,nein,Samstag,>17 Uhr,< 10 km,1000-<2000,> 5,363,0,12,15,111,47,156,0,91,0,0,174,0,0,0,0
w,18-30,ja,Partnerschaft,nein,Samstag,12-14 Uhr,< 10 km,>4500,0,422,0,2,16,0,48,0,8,0,64,0,0,0,180,0,138
w,>60,nein,Partnerschaft,ja,Samstag,12-14 Uhr,< 10 km,>4500,1 bis 5,107,0,7,0,12,8,0,0,32,34,0,0,48,0,0,0
m,>60,nein,ledig,ja,Mittwoch,>17 Uhr,< 10 km,1000-<2000,> 5,206,56,0,0,36,0,0,0,0,114,0,0,0,0,0,0
m,18-30,nein,Partnerschaft,nein,Donnerstag,10-12 Uhr,10 - 25 km,>4500,0,198,0,0,16,47,0,72,0,183,321,135,0,0,0,32,0
w,18-30,nein,ledig,ja,Freitag,12-14 Uhr,10 - 25 km,2000-<3200,1 bis 5,280,0,15,0,0,22,0,0,0,42,106,0,0,0,24,0
m,18-30,ja,ledig,nein,Dienstag,12-14 Uhr,10 - 25 km,1000-<2000,> 5,851,282,7,19,0,0,0,0,0,0,98,459,0,0,54,0
m,51-60,nein,ledig,ja,Dienstag,<10 Uhr,< 10 km,2000-<3200,> 5,301,174,0,48,32,0,56,0,59,16,0,0,27,0,4,0
m,18-30,ja,ledig,nein,Montag,<10 Uhr,< 10 km,1000-<2000,> 5,374,0,3,45,29,96,0,0,0,132,24,0,0,0,156,0
m,31-40,nein,Partnerschaft,ja,Montag,>17 Uhr,< 10 km,>4500,> 5,374,0,0,6,41,0,154,0,272,81,0,246,0,0,0,0
m,18-30,nein,ledig,ja,Montag,14-17 Uhr,< 10 km,1000-<2000,> 5,723,0,0,0,93,0,492,0,124,255,0,375,0,0,0,0
w,41-50,ja,Partnerschaft,ja,Donnerstag,<10 Uhr,< 10 km,2000-<3200,> 5,221,216,5,3,0,117,0,0,0,0,0,0,0,0,0,0
m,31-40,ja,Partnerschaft,nein,Donnerstag,14-17 Uhr,10 - 25 km,2000-<3200,> 5,272,0,0,0,0,126,0,0,0,0,102,0,0,0,0,0
m,>60,nein,ledig,nein,Freitag,<10 Uhr,> 25 km,>4500,1 bis 5,577,0,1,0,0,0,0,0,0,0,183,0,0,0,135,0
m,>60,nein,Partnerschaft,ja,Mittwoch,>17 Uhr,10 - 25 km,3200-<4500,0,382,82,0,0,0,0,0,0,0,66,0,0,0,0,0,234
m,31-40,ja,ledig,ja,Donnerstag,<10 Uhr,< 10 km,>4500,0,279,15,5,0,52,30,0,0,0,0,0,140,28,0,0,0
w,31-40,ja,Partnerschaft,ja,Dienstag,10-12 Uhr,> 25 km,3200-<4500,0,623,0,9,8,33,62,114,0,162,61,0,0,38,306,0,176
w,18-30,nein,ledig,ja,Dienstag,12-14 Uhr,< 10 km,>4500,> 5,246,0,0,0,27,0,219,0,111,56,72,0,0,0,46,0
m,51-60,ja,Partnerschaft,ja,Samstag,14-17 Uhr,< 10 km,2000-<3200,> 5,97,0,0,0,0,0,0,0,0,98,2,28,0,0,80,0
m,18-30,ja,ledig,ja,Samstag,14-17 Uhr,10 - 25 km,1000-<2000,> 5,439,152,0,0,213,0,0,0,0,11,0,0,63,0,0,0
w,18-30,ja,ledig,nein,Freitag,>17 Uhr,< 10 km,>4500,1 bis 5,530,195,0,0,0,0,242,0,0,0,93,0,0,0,0,0
m,51-60,ja,Partnerschaft,nein,Freitag,14-17 Uhr,< 10 km,1000-<2000,> 5,276,0,0,0,18,0,122,21,40,237,0,0,0,0,0,0
w,>60,ja,ledig,nein,Freitag,14-17 Uhr,< 10 km,2000-<3200,0,205,0,0,0,16,0,264,0,0,189,0,0,0,0,0,0
m,18-30,nein,Partnerschaft,nein,Montag,>17 Uhr,10 - 25 km,1000-<2000,0,278,94,0,0,0,0,0,0,0,74,104,0,60,0,0,0
w,31-40,ja,ledig,ja,Donnerstag,>17 Uhr,< 10 km,2000-<3200,> 5,201,0,9,20,0,0,0,0,0,0,0,192,0,0,0,0
m,41-50,ja,ledig,ja,Freitag,10-12 Uhr,< 10 km,<1000,1 bis 5,69,0,0,18,0,0,0,0,0,51,0,0,0,0,0,0
m,>60,ja,Partnerschaft,nein,Montag,14-17 Uhr,< 10 km,1000-<2000,0,287,0,0,0,33,0,38,0,110,44,150,48,56,0,0,0
w,18-30,ja,Partnerschaft,ja,Dienstag,10-12 Uhr,10 - 25 km,3200-<4500,0,730,0,0,38,0,0,288,0,0,128,0,0,0,276,0,0
w,18-30,nein,ledig,ja,Dienstag,12-14 Uhr,< 10 km,2000-<3200,> 5,524,0,0,0,0,18,0,0,0,64,48,352,0,0,0,0
m,31-40,nein,Partnerschaft,ja,Freitag,>17 Uhr,10 - 25 km,2000-<3200,1 bis 5,381,0,0,0,0,0,79,0,0,0,0,70,0,0,0,232
m,18-30,ja,ledig,ja,Mittwoch,>17 Uhr,< 10 km,<1000,> 5,138,0,14,14,0,52,0,0,0,0,0,0,28,0,0,0
w,31-40,ja,Partnerschaft,nein,Freitag,12-14 Uhr,10 - 25 km,3200-<4500,> 5,605,94,0,0,72,0,195,0,264,0,0,0,25,0,0,126
w,18-30,nein,Partnerschaft,nein,Samstag,10-12 Uhr,< 10 km,3200-<4500,0,138,0,0,0,10,0,108,0,296,0,90,0,38,0,87,0
m,18-30,nein,Partnerschaft,ja,Donnerstag,>17 Uhr,> 25 km,1000-<2000,> 5,64,0,10,0,38,62,74,16,0,0,0,0,0,0,0,0
m,>60,ja,Partnerschaft,ja,Dienstag,10-12 Uhr,> 25 km,3200-<4500,> 5,99,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0
w,>60,ja,ledig,nein,Dienstag,10-12 Uhr,< 10 km,2000-<3200,0,381,0,0,21,62,94,98,0,28,0,0,204,0,0,0,0
m,18-30,ja,ledig,ja,Mittwoch,12-14 Uhr,< 10 km,1000-<2000,> 5,317,0,24,15,0,0,0,0,0,195,0,0,62,0,0,0
m,31-40,ja,ledig,nein,Samstag,>17 Uhr,< 10 km,3200-<4500,0,615,0,16,36,0,56,132,111,43,0,0,210,21,0,0,56
m,31-40,nein,Partnerschaft,nein,Freitag,<10 Uhr,10 - 25 km,<1000,0,205,0,0,0,70,0,116,0,156,72,75,60,0,0,0,0
m,18-30,nein,Partnerschaft,ja,Montag,14-17 Uhr,< 10 km,1000-<2000,1 bis 5,381,148,9,30,0,0,0,0,0,135,189,0,0,0,0,0
