@relation kd1000-weka.filters.unsupervised.attribute.NumericCleaner-min1.0-min-defaultNaN-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1

@attribute Geschlecht {w,m}
@attribute Alter {18-30,41-50,>60,31-40,51-60}
@attribute Kinder {nein,ja}
@attribute Familienstand {Partnerschaft,ledig}
@attribute Berufstaetig {ja,nein}
@attribute Einkaufstag {Montag,Mittwoch,Dienstag,Freitag,Samstag,Donnerstag}
@attribute Einkaufsuhrzeit {'10-12 Uhr','<10 Uhr','>17 Uhr','12-14 Uhr','14-17 Uhr'}
@attribute Wohnort {'> 25 km','< 10 km','10 - 25 km'}
@attribute Haushaltsnettoeinkommen {2000-<3200,>4500,1000-<2000,<1000,3200-<4500}
@attribute Stammkunde {'1 bis 5',0,'> 5'}
@attribute Einkaufssumme numeric
@attribute Elektrowerkzeuge numeric
@attribute Eisenwaren numeric
@attribute Handwerkzeuge numeric
@attribute Sanitaermaterial numeric
@attribute Schliesstechnik numeric
@attribute Fliesen numeric
@attribute Farben numeric
@attribute Armaturen numeric
@attribute Renovierung numeric
@attribute Elektromaterial numeric
@attribute Baustoffe numeric
@attribute Holz numeric
@attribute Bodenbelag numeric
@attribute Leuchten numeric
@attribute Aktionsware numeric

@data
w,>60,nein,Partnerschaft,nein,Samstag,'14-17 Uhr','> 25 km',>4500,'1 bis 5',754,?,3,15,?,23,?,?,?,93,111,442,?,?,54,183
w,18-30,ja,Partnerschaft,nein,Samstag,'10-12 Uhr','> 25 km',1000-<2000,'> 5',132,?,18,?,?,?,?,?,?,?,?,114,?,?,?,?
m,31-40,ja,ledig,ja,Freitag,'>17 Uhr','< 10 km',>4500,'> 5',338,?,14,22,?,26,?,?,?,96,?,?,?,?,?,228
m,31-40,ja,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',55,?,9,?,?,?,?,?,?,?,?,?,46,?,?,?
m,>60,nein,ledig,ja,Samstag,'<10 Uhr','10 - 25 km',1000-<2000,'1 bis 5',270,?,6,?,?,104,?,?,?,?,102,?,?,?,66,162
m,41-50,ja,ledig,ja,Samstag,'>17 Uhr','> 25 km',1000-<2000,'> 5',515,?,?,18,123,90,216,?,68,?,98,?,?,?,84,?
m,>60,nein,Partnerschaft,nein,Samstag,'14-17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',229,?,?,?,?,?,?,60,?,168,106,?,63,?,?,?
w,18-30,nein,Partnerschaft,nein,Dienstag,'10-12 Uhr','> 25 km',1000-<2000,'1 bis 5',191,?,4,?,69,21,70,?,?,?,?,?,68,?,?,50
m,18-30,ja,Partnerschaft,nein,Freitag,'10-12 Uhr','< 10 km',<1000,0,370,?,?,8,42,72,177,?,?,?,118,70,?,?,?,?
m,18-30,ja,ledig,nein,Montag,'10-12 Uhr','< 10 km',2000-<3200,0,445,?,15,12,?,90,?,?,?,108,?,322,?,?,?,?
w,18-30,ja,Partnerschaft,ja,Donnerstag,'14-17 Uhr','10 - 25 km',2000-<3200,'1 bis 5',325,?,6,4,?,?,?,?,?,61,?,225,?,?,?,?
m,18-30,nein,ledig,ja,Freitag,'<10 Uhr','< 10 km',>4500,0,587,315,4,6,72,135,?,?,147,?,?,?,?,?,?,?
m,31-40,ja,ledig,ja,Samstag,'14-17 Uhr','< 10 km',2000-<3200,'1 bis 5',587,65,8,10,?,?,?,?,?,?,?,163,?,?,?,306
w,18-30,ja,ledig,nein,Samstag,'10-12 Uhr','10 - 25 km',2000-<3200,0,387,69,8,42,52,27,39,?,82,?,?,?,76,84,?,98
m,51-60,ja,Partnerschaft,nein,Freitag,'10-12 Uhr','< 10 km',1000-<2000,'> 5',326,?,?,?,?,?,95,?,?,146,12,?,?,?,25,?
m,51-60,nein,Partnerschaft,ja,Freitag,'<10 Uhr','< 10 km',<1000,0,417,?,?,?,?,?,?,?,?,219,105,?,44,?,15,?
m,18-30,nein,Partnerschaft,ja,Freitag,'10-12 Uhr','> 25 km',3200-<4500,0,262,?,?,?,94,?,67,?,?,?,?,72,27,?,?,69
w,41-50,nein,ledig,ja,Samstag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',271,?,15,12,?,19,?,?,?,80,?,?,?,?,?,134
m,18-30,ja,ledig,nein,Samstag,'>17 Uhr','< 10 km',2000-<3200,'> 5',620,?,?,51,2,?,99,?,336,90,108,225,?,?,3,234
m,31-40,nein,ledig,nein,Samstag,'12-14 Uhr','10 - 25 km',2000-<3200,'1 bis 5',433,76,?,?,31,?,61,?,90,?,?,?,96,230,?,?
m,31-40,nein,Partnerschaft,ja,Montag,'14-17 Uhr','10 - 25 km',2000-<3200,'1 bis 5',287,?,21,22,?,?,?,?,?,170,?,?,96,?,?,?
w,>60,nein,Partnerschaft,ja,Freitag,'<10 Uhr','< 10 km',1000-<2000,'> 5',442,?,?,?,?,?,?,117,?,109,?,202,14,?,?,?
w,18-30,ja,ledig,ja,Dienstag,'<10 Uhr','10 - 25 km',<1000,'> 5',703,93,?,9,177,?,38,87,144,249,?,88,?,?,?,?
w,51-60,ja,Partnerschaft,ja,Montag,'12-14 Uhr','10 - 25 km',>4500,'> 5',130,?,?,?,?,?,?,58,?,72,?,?,?,?,?,?
m,41-50,ja,ledig,ja,Dienstag,'14-17 Uhr','< 10 km',<1000,'> 5',109,?,?,?,?,?,?,?,?,25,?,?,?,?,?,84
m,18-30,ja,Partnerschaft,nein,Donnerstag,'14-17 Uhr','< 10 km',<1000,'1 bis 5',279,48,?,32,?,?,?,?,?,?,96,?,20,83,?,?
m,>60,nein,Partnerschaft,ja,Montag,'>17 Uhr','< 10 km',2000-<3200,'> 5',364,123,?,8,56,22,162,?,82,102,?,?,41,?,?,12
m,41-50,ja,Partnerschaft,ja,Samstag,'10-12 Uhr','< 10 km',1000-<2000,'1 bis 5',226,?,21,?,72,?,284,?,?,?,?,?,?,?,?,99
m,18-30,ja,Partnerschaft,nein,Dienstag,'12-14 Uhr','< 10 km',>4500,'1 bis 5',327,?,?,18,36,?,294,?,118,111,44,?,15,?,19,?
m,31-40,nein,ledig,ja,Freitag,'10-12 Uhr','10 - 25 km',3200-<4500,'> 5',270,?,?,?,90,?,?,?,122,?,?,180,?,?,?,?
m,18-30,nein,ledig,nein,Donnerstag,'10-12 Uhr','< 10 km',3200-<4500,'1 bis 5',317,?,?,?,45,?,?,?,69,?,?,?,?,?,?,272
w,18-30,nein,Partnerschaft,ja,Donnerstag,'>17 Uhr','10 - 25 km',3200-<4500,'> 5',303,58,2,33,32,48,84,?,232,?,?,196,15,?,?,?
m,>60,nein,Partnerschaft,nein,Samstag,'10-12 Uhr','< 10 km',1000-<2000,'1 bis 5',166,?,3,38,?,41,?,?,?,106,?,?,57,?,?,?
m,18-30,nein,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',3200-<4500,'1 bis 5',314,?,?,13,?,?,?,?,?,?,?,135,26,?,?,140
w,18-30,nein,Partnerschaft,ja,Mittwoch,'10-12 Uhr','< 10 km',1000-<2000,'1 bis 5',232,?,12,14,?,36,198,?,?,?,?,?,?,?,?,?
m,31-40,nein,Partnerschaft,ja,Samstag,'<10 Uhr','< 10 km',<1000,'1 bis 5',155,?,?,15,?,?,?,?,?,?,76,?,58,?,90,6
w,18-30,ja,Partnerschaft,ja,Samstag,'>17 Uhr','< 10 km',<1000,0,184,?,?,32,42,72,174,?,88,141,38,?,?,?,20,?
m,31-40,ja,ledig,ja,Freitag,'>17 Uhr','< 10 km',1000-<2000,0,644,?,14,?,10,66,50,156,75,196,22,128,?,?,?,164
m,18-30,nein,Partnerschaft,nein,Dienstag,'10-12 Uhr','> 25 km',2000-<3200,0,564,50,?,?,?,?,?,?,?,88,102,202,48,?,19,162
w,>60,ja,Partnerschaft,nein,Dienstag,'>17 Uhr','< 10 km',<1000,'1 bis 5',157,?,5,7,?,92,?,?,?,?,?,?,30,?,?,62
m,41-50,ja,ledig,nein,Montag,'14-17 Uhr','< 10 km',3200-<4500,'> 5',445,?,8,16,63,78,80,?,?,?,?,26,?,?,?,348
m,>60,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',2000-<3200,'1 bis 5',370,?,?,10,?,?,?,84,?,?,?,?,?,?,?,276
m,>60,ja,Partnerschaft,nein,Montag,'12-14 Uhr','< 10 km',1000-<2000,'> 5',544,?,6,?,?,?,?,?,?,?,?,504,4,?,?,?
m,>60,ja,Partnerschaft,ja,Montag,'14-17 Uhr','> 25 km',1000-<2000,'1 bis 5',345,165,?,?,32,?,?,?,114,?,?,148,?,?,?,?
m,18-30,nein,ledig,ja,Donnerstag,'<10 Uhr','< 10 km',1000-<2000,'1 bis 5',591,22,12,16,76,48,?,14,76,114,?,?,8,?,?,345
w,41-50,ja,Partnerschaft,nein,Freitag,'<10 Uhr','10 - 25 km',>4500,'> 5',368,?,?,?,63,?,?,?,48,86,?,51,14,?,?,154
m,41-50,ja,Partnerschaft,nein,Montag,'14-17 Uhr','< 10 km',3200-<4500,'> 5',431,?,?,14,?,?,?,?,?,?,?,21,?,?,?,396
m,41-50,nein,Partnerschaft,nein,Montag,'14-17 Uhr','< 10 km',1000-<2000,'> 5',184,?,4,?,?,93,?,?,114,?,40,?,26,?,48,?
m,31-40,ja,Partnerschaft,ja,Dienstag,'>17 Uhr','10 - 25 km',<1000,0,977,?,?,10,171,105,180,?,405,246,150,178,?,?,4,234
m,18-30,nein,ledig,ja,Freitag,'12-14 Uhr','10 - 25 km',1000-<2000,'1 bis 5',898,?,?,9,54,?,122,?,?,154,120,231,?,?,28,?
w,51-60,ja,ledig,ja,Montag,'14-17 Uhr','< 10 km',>4500,'1 bis 5',881,?,6,?,14,?,174,?,?,192,90,264,?,?,?,429
m,18-30,ja,ledig,ja,Montag,'<10 Uhr','10 - 25 km',<1000,'> 5',247,?,8,?,?,84,?,76,?,243,105,?,58,?,66,?
w,41-50,ja,Partnerschaft,ja,Freitag,'10-12 Uhr','10 - 25 km',1000-<2000,'> 5',126,?,9,?,?,120,?,?,?,?,?,?,?,?,?,117
m,18-30,nein,ledig,ja,Montag,'10-12 Uhr','< 10 km',<1000,'> 5',243,?,?,?,?,?,?,?,?,192,40,?,23,?,44,56
m,31-40,ja,Partnerschaft,nein,Dienstag,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',229,?,2,?,?,?,?,?,148,39,12,?,?,?,27,?
m,>60,nein,Partnerschaft,ja,Freitag,'10-12 Uhr','< 10 km',1000-<2000,0,341,?,2,30,?,78,64,?,116,8,19,?,8,?,120,132
m,51-60,nein,ledig,nein,Samstag,'<10 Uhr','> 25 km',2000-<3200,'1 bis 5',202,84,2,54,?,43,?,?,?,?,?,95,?,?,?,21
m,41-50,ja,Partnerschaft,ja,Samstag,'>17 Uhr','< 10 km',2000-<3200,0,697,222,?,?,23,?,?,?,216,53,72,180,32,168,?,?
w,>60,nein,ledig,nein,Freitag,'<10 Uhr','< 10 km',1000-<2000,0,260,30,?,?,?,?,?,?,?,102,?,?,?,?,?,128
m,>60,ja,ledig,ja,Samstag,'10-12 Uhr','< 10 km',<1000,0,429,192,?,?,?,70,?,?,?,69,?,?,?,?,?,98
m,41-50,nein,ledig,nein,Montag,'14-17 Uhr','< 10 km',3200-<4500,0,697,?,?,?,?,?,?,192,?,79,88,?,?,?,28,417
m,>60,nein,Partnerschaft,ja,Donnerstag,'12-14 Uhr','> 25 km',1000-<2000,'> 5',523,?,?,?,50,?,130,?,?,231,27,152,?,?,29,?
m,18-30,ja,Partnerschaft,ja,Donnerstag,'12-14 Uhr','< 10 km',<1000,'1 bis 5',364,?,12,21,48,26,93,?,59,92,132,?,52,?,94,?
m,>60,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',1000-<2000,0,275,?,?,?,?,?,?,?,?,124,54,97,?,?,13,124
m,31-40,nein,ledig,nein,Samstag,'10-12 Uhr','< 10 km',1000-<2000,'1 bis 5',464,68,?,?,?,?,?,?,?,?,?,328,68,?,?,?
w,41-50,ja,ledig,ja,Samstag,'<10 Uhr','< 10 km',2000-<3200,0,844,?,?,?,26,?,?,?,6,336,?,264,?,?,36,182
m,41-50,nein,ledig,ja,Donnerstag,'14-17 Uhr','10 - 25 km',<1000,'> 5',77,?,?,?,56,?,?,?,?,?,9,?,?,?,?,12
m,>60,nein,Partnerschaft,nein,Freitag,'<10 Uhr','< 10 km',1000-<2000,0,78,75,3,9,?,?,?,?,?,?,?,?,?,?,?,?
m,41-50,ja,ledig,ja,Freitag,'12-14 Uhr','10 - 25 km',2000-<3200,'> 5',84,?,?,?,84,?,190,?,224,?,?,?,?,?,?,?
m,41-50,nein,Partnerschaft,nein,Montag,'<10 Uhr','< 10 km',1000-<2000,'1 bis 5',137,?,21,?,72,?,?,?,258,?,?,?,40,?,?,?
m,31-40,nein,Partnerschaft,nein,Dienstag,'10-12 Uhr','10 - 25 km',2000-<3200,'1 bis 5',107,?,8,6,?,?,?,?,?,22,64,35,?,?,38,?
m,51-60,ja,Partnerschaft,ja,Dienstag,'>17 Uhr','10 - 25 km',2000-<3200,'1 bis 5',147,?,?,?,?,?,?,?,?,147,?,?,?,?,?,?
m,51-60,nein,Partnerschaft,ja,Samstag,'>17 Uhr','< 10 km',2000-<3200,'> 5',140,?,?,18,54,23,?,?,78,?,?,45,?,?,?,?
m,>60,ja,ledig,nein,Samstag,'<10 Uhr','< 10 km',<1000,'1 bis 5',452,61,15,6,53,123,165,?,108,129,?,55,16,9,?,114
m,51-60,ja,Partnerschaft,ja,Freitag,'12-14 Uhr','10 - 25 km',1000-<2000,'> 5',147,128,?,?,?,?,?,?,?,?,?,?,19,?,?,?
m,51-60,nein,ledig,nein,Samstag,'<10 Uhr','< 10 km',3200-<4500,'1 bis 5',381,249,3,?,?,11,?,?,?,?,?,129,?,?,?,?
w,31-40,nein,Partnerschaft,nein,Samstag,'10-12 Uhr','10 - 25 km',1000-<2000,'1 bis 5',89,?,27,?,?,69,?,?,?,?,?,62,?,?,?,?
m,41-50,ja,Partnerschaft,nein,Donnerstag,'>17 Uhr','< 10 km',3200-<4500,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
m,>60,nein,Partnerschaft,ja,Freitag,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',276,?,8,10,?,90,?,?,?,60,?,120,?,?,?,82
w,18-30,nein,Partnerschaft,ja,Samstag,'14-17 Uhr','10 - 25 km',<1000,'1 bis 5',149,?,20,?,?,37,?,?,?,?,?,87,?,?,42,?
m,>60,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','10 - 25 km',1000-<2000,0,131,?,3,18,?,?,?,?,?,62,128,?,?,?,?,?
w,41-50,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',3200-<4500,'> 5',493,86,?,?,30,?,112,?,186,?,?,214,51,?,?,112
m,31-40,ja,Partnerschaft,nein,Dienstag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',255,?,?,16,?,?,?,94,?,96,64,?,?,?,?,?
m,18-30,ja,Partnerschaft,nein,Freitag,'14-17 Uhr','< 10 km',1000-<2000,0,225,99,?,?,46,?,96,?,249,192,80,?,?,?,117,?
m,>60,nein,Partnerschaft,ja,Montag,'10-12 Uhr','10 - 25 km',1000-<2000,'> 5',450,300,?,?,?,?,?,?,?,?,?,?,31,?,?,119
m,41-50,ja,Partnerschaft,ja,Dienstag,'<10 Uhr','> 25 km',2000-<3200,0,265,?,3,12,?,50,?,?,?,?,?,?,?,?,?,262
w,18-30,nein,ledig,ja,Dienstag,'10-12 Uhr','> 25 km',2000-<3200,'1 bis 5',39,?,16,?,?,63,?,?,?,?,?,?,?,?,1,?
m,51-60,ja,Partnerschaft,ja,Samstag,'10-12 Uhr','< 10 km',1000-<2000,'> 5',348,?,?,?,3,?,?,177,?,?,?,?,27,?,?,?
w,18-30,nein,ledig,ja,Freitag,'14-17 Uhr','10 - 25 km',<1000,'> 5',555,?,?,?,84,?,15,?,136,?,?,363,42,?,?,66
m,18-30,ja,ledig,ja,Dienstag,'>17 Uhr','< 10 km',3200-<4500,'1 bis 5',148,?,18,?,?,162,?,?,?,92,?,?,38,?,?,?
m,41-50,ja,Partnerschaft,ja,Dienstag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',130,?,9,?,?,32,?,?,?,121,?,?,?,?,?,?
m,18-30,ja,Partnerschaft,ja,Samstag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',675,?,?,26,96,?,225,?,?,95,159,190,?,?,28,?
m,>60,nein,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',<1000,'1 bis 5',403,?,7,7,?,28,105,?,?,?,?,242,?,?,?,49
w,51-60,nein,ledig,nein,Freitag,'12-14 Uhr','< 10 km',2000-<3200,'1 bis 5',75,?,?,?,?,?,?,?,?,?,?,59,16,?,?,?
m,18-30,nein,Partnerschaft,ja,Dienstag,'<10 Uhr','< 10 km',<1000,'1 bis 5',207,?,4,10,?,34,?,?,?,81,61,?,?,?,32,?
w,51-60,nein,Partnerschaft,ja,Dienstag,'>17 Uhr','< 10 km',3200-<4500,0,291,?,21,20,?,?,?,?,?,?,?,270,?,?,?,?
w,>60,nein,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',222,?,12,60,?,28,?,?,?,?,?,?,?,?,?,210
m,>60,ja,ledig,nein,Freitag,'14-17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',904,206,6,?,?,64,?,?,126,80,?,432,54,?,?,?
m,18-30,nein,Partnerschaft,ja,Montag,'>17 Uhr','10 - 25 km',>4500,'1 bis 5',348,?,21,9,?,?,?,?,?,?,?,?,75,?,?,252
w,31-40,ja,ledig,ja,Freitag,'10-12 Uhr','10 - 25 km',2000-<3200,0,551,58,?,22,?,?,?,90,?,336,?,?,45,?,?,?
m,31-40,nein,Partnerschaft,ja,Samstag,'12-14 Uhr','10 - 25 km',3200-<4500,'1 bis 5',184,?,?,?,37,?,216,?,38,61,99,?,?,?,69,?
m,>60,nein,ledig,ja,Montag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',328,93,12,6,57,80,18,46,?,?,?,?,?,?,?,?
m,41-50,nein,ledig,ja,Dienstag,'12-14 Uhr','< 10 km',1000-<2000,'> 5',808,50,?,?,33,?,?,?,?,135,60,387,?,192,34,?
m,18-30,ja,ledig,ja,Samstag,'<10 Uhr','< 10 km',2000-<3200,0,410,83,?,?,?,?,?,?,?,120,132,195,?,?,2,?
m,18-30,ja,Partnerschaft,ja,Donnerstag,'12-14 Uhr','< 10 km',2000-<3200,0,99,?,?,?,?,?,?,5,94,?,?,?,?,?,?,?
m,41-50,nein,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',<1000,'> 5',71,32,21,42,?,60,?,?,?,?,?,?,?,?,?,?
m,51-60,nein,Partnerschaft,ja,Mittwoch,'10-12 Uhr','< 10 km',3200-<4500,'1 bis 5',197,?,12,?,?,?,?,?,?,?,?,?,40,?,?,?
w,31-40,ja,ledig,ja,Dienstag,'<10 Uhr','< 10 km',3200-<4500,'> 5',522,?,?,?,?,?,?,90,?,134,68,182,?,?,18,182
w,18-30,nein,ledig,ja,Freitag,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',352,48,7,45,27,114,108,?,255,?,?,?,12,?,?,258
m,18-30,ja,Partnerschaft,nein,Montag,'14-17 Uhr','> 25 km',3200-<4500,'> 5',512,?,?,?,19,?,31,?,160,?,162,192,36,?,50,47
w,18-30,ja,ledig,ja,Montag,'>17 Uhr','> 25 km',2000-<3200,'> 5',423,?,?,?,21,?,33,?,?,?,?,?,?,?,?,288
m,41-50,ja,ledig,ja,Dienstag,'>17 Uhr','< 10 km',3200-<4500,'> 5',190,106,?,?,18,?,42,?,312,102,40,?,26,?,28,?
w,41-50,nein,ledig,nein,Donnerstag,'10-12 Uhr','< 10 km',1000-<2000,'> 5',43,?,4,30,30,16,?,?,?,?,?,?,?,?,?,?
w,31-40,ja,ledig,ja,Montag,'12-14 Uhr','10 - 25 km',3200-<4500,'1 bis 5',312,?,?,?,?,?,?,?,?,?,?,300,12,?,?,?
m,>60,ja,Partnerschaft,nein,Dienstag,'14-17 Uhr','10 - 25 km',>4500,'> 5',393,21,?,?,19,?,216,98,76,182,54,?,?,?,42,201
w,18-30,ja,Partnerschaft,nein,Montag,'>17 Uhr','< 10 km',<1000,0,296,?,21,4,?,93,?,?,?,?,?,?,7,?,?,237
m,51-60,nein,ledig,ja,Montag,'>17 Uhr','> 25 km',3200-<4500,'1 bis 5',428,?,5,12,102,42,?,102,?,?,?,?,?,219,?,?
m,>60,ja,Partnerschaft,nein,Montag,'12-14 Uhr','> 25 km',3200-<4500,'1 bis 5',115,?,9,?,8,34,351,?,375,74,?,?,?,?,?,?
m,18-30,nein,ledig,ja,Freitag,'10-12 Uhr','10 - 25 km',>4500,'> 5',257,?,15,9,?,90,?,?,?,190,42,?,?,?,?,200
m,31-40,nein,ledig,ja,Samstag,'>17 Uhr','< 10 km',1000-<2000,'1 bis 5',705,?,?,?,?,?,?,?,124,267,?,249,?,?,?,65
m,31-40,nein,ledig,ja,Freitag,'10-12 Uhr','10 - 25 km',1000-<2000,'1 bis 5',475,?,?,?,141,87,?,?,?,160,?,?,?,87,?,?
m,>60,nein,ledig,ja,Mittwoch,'>17 Uhr','< 10 km',2000-<3200,'> 5',521,?,4,48,35,74,240,?,93,237,?,?,13,?,?,?
m,18-30,nein,Partnerschaft,ja,Montag,'<10 Uhr','< 10 km',<1000,'> 5',239,?,12,9,46,62,?,?,50,?,64,?,30,?,52,?
m,>60,nein,Partnerschaft,ja,Dienstag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',260,?,?,?,?,?,?,?,?,?,?,172,?,?,?,88
w,18-30,nein,ledig,nein,Montag,'>17 Uhr','< 10 km',2000-<3200,'> 5',922,?,7,5,?,?,?,?,302,92,?,309,?,?,16,184
m,18-30,ja,Partnerschaft,ja,Samstag,'10-12 Uhr','10 - 25 km',>4500,'> 5',66,?,?,?,?,?,?,?,?,87,61,?,5,?,72,?
m,18-30,nein,ledig,ja,Dienstag,'>17 Uhr','< 10 km',2000-<3200,'> 5',628,?,?,?,60,?,177,?,?,72,32,?,?,?,10,84
m,18-30,ja,ledig,ja,Samstag,'10-12 Uhr','< 10 km',1000-<2000,'> 5',36,?,12,22,?,33,?,?,?,?,24,?,?,?,?,?
w,51-60,nein,Partnerschaft,nein,Samstag,'>17 Uhr','10 - 25 km',2000-<3200,'> 5',188,?,15,5,56,22,47,?,141,?,?,?,?,?,?,?
m,18-30,ja,ledig,nein,Samstag,'<10 Uhr','< 10 km',2000-<3200,'> 5',935,?,4,54,168,?,130,76,222,90,?,264,?,?,?,333
w,>60,ja,ledig,ja,Mittwoch,'14-17 Uhr','< 10 km',3200-<4500,'1 bis 5',200,?,?,10,?,18,?,?,?,?,?,?,?,?,?,172
m,18-30,nein,Partnerschaft,nein,Dienstag,'14-17 Uhr','< 10 km',3200-<4500,'1 bis 5',188,64,21,48,7,?,?,?,?,55,65,?,?,?,34,?
m,41-50,ja,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',2000-<3200,0,329,128,12,3,?,50,?,?,?,95,24,?,?,?,?,61
m,41-50,ja,ledig,ja,Montag,'14-17 Uhr','< 10 km',2000-<3200,'1 bis 5',440,?,1,?,36,?,118,?,?,95,148,?,?,?,21,189
w,31-40,nein,Partnerschaft,ja,Freitag,'14-17 Uhr','10 - 25 km',1000-<2000,0,46,?,2,12,?,93,?,?,?,?,?,?,36,?,?,?
w,51-60,nein,ledig,nein,Samstag,'>17 Uhr','10 - 25 km',1000-<2000,'> 5',549,?,?,?,?,?,?,105,?,43,24,36,57,?,48,?
m,18-30,nein,ledig,nein,Samstag,'12-14 Uhr','< 10 km',>4500,'1 bis 5',273,?,?,?,138,?,92,?,40,135,?,?,?,?,?,?
w,31-40,nein,Partnerschaft,nein,Freitag,'10-12 Uhr','< 10 km',<1000,0,584,111,?,16,96,?,122,?,88,74,47,54,58,?,51,202
w,18-30,ja,ledig,ja,Mittwoch,'>17 Uhr','> 25 km',1000-<2000,'1 bis 5',550,?,?,6,?,?,?,?,?,90,40,504,?,?,?,?
m,18-30,nein,ledig,nein,Donnerstag,'<10 Uhr','< 10 km',3200-<4500,'> 5',150,12,?,?,24,60,190,?,174,62,39,?,?,?,?,15
m,>60,ja,ledig,nein,Montag,'>17 Uhr','< 10 km',2000-<3200,'1 bis 5',478,38,10,?,75,26,?,?,87,177,150,116,?,?,?,89
m,31-40,ja,ledig,nein,Samstag,'14-17 Uhr','< 10 km',1000-<2000,'1 bis 5',297,?,?,7,90,?,?,?,234,?,46,?,?,?,24,154
w,18-30,nein,Partnerschaft,ja,Mittwoch,'>17 Uhr','< 10 km',>4500,'1 bis 5',415,?,?,?,4,?,?,?,111,201,159,?,12,?,82,124
w,18-30,ja,ledig,nein,Samstag,'<10 Uhr','< 10 km',1000-<2000,0,296,?,?,?,62,?,164,?,158,?,?,234,?,?,?,?
w,>60,ja,ledig,ja,Donnerstag,'10-12 Uhr','10 - 25 km',1000-<2000,'> 5',447,?,18,36,?,60,?,?,?,66,123,180,?,?,56,126
m,18-30,nein,ledig,nein,Dienstag,'>17 Uhr','10 - 25 km',<1000,'1 bis 5',827,?,?,?,48,?,?,?,87,?,252,201,24,?,114,117
m,31-40,ja,Partnerschaft,ja,Donnerstag,'12-14 Uhr','10 - 25 km',1000-<2000,'1 bis 5',343,?,?,?,?,?,?,?,?,71,126,91,?,?,21,87
m,31-40,ja,Partnerschaft,nein,Montag,'<10 Uhr','< 10 km',3200-<4500,0,544,?,?,?,132,?,?,?,?,?,27,?,?,?,36,?
m,41-50,nein,ledig,ja,Montag,'14-17 Uhr','> 25 km',2000-<3200,'1 bis 5',147,?,?,?,21,?,158,?,213,?,88,?,?,?,36,38
m,41-50,nein,ledig,nein,Montag,'<10 Uhr','< 10 km',1000-<2000,'1 bis 5',90,?,2,24,38,?,40,?,101,50,?,?,?,?,?,?
m,31-40,ja,ledig,nein,Samstag,'10-12 Uhr','> 25 km',>4500,'> 5',133,?,30,?,58,45,?,?,249,?,?,?,?,?,?,?
w,31-40,ja,ledig,nein,Samstag,'>17 Uhr','< 10 km',1000-<2000,'> 5',159,?,?,?,?,?,?,?,?,128,159,?,?,?,20,?
m,18-30,nein,Partnerschaft,nein,Montag,'>17 Uhr','> 25 km',2000-<3200,'> 5',462,?,18,6,?,?,?,?,?,?,?,?,?,?,?,423
m,31-40,ja,Partnerschaft,nein,Samstag,'14-17 Uhr','< 10 km',2000-<3200,'1 bis 5',195,?,15,?,84,30,159,?,?,?,?,?,?,?,?,76
m,31-40,nein,Partnerschaft,nein,Samstag,'14-17 Uhr','10 - 25 km',1000-<2000,0,153,?,?,?,78,?,44,?,190,75,?,?,?,?,?,?
m,18-30,ja,Partnerschaft,ja,Freitag,'12-14 Uhr','10 - 25 km',1000-<2000,'> 5',253,?,21,33,?,28,?,?,?,?,?,?,?,?,?,232
m,41-50,ja,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',1000-<2000,'1 bis 5',1121,128,?,?,?,?,?,?,?,264,135,222,84,186,38,228
m,51-60,ja,ledig,nein,Donnerstag,'12-14 Uhr','< 10 km',2000-<3200,'> 5',373,?,6,?,?,42,126,?,?,?,?,106,?,?,?,135
w,18-30,nein,Partnerschaft,nein,Montag,'10-12 Uhr','10 - 25 km',3200-<4500,'> 5',517,?,?,?,?,?,?,?,?,81,?,228,54,40,?,114
